05/05,昭和電ド,1,大分,1-1,徳島,0
05/05,Ｅスタ,2,広島,1-1,横浜Ｍ,0
05/05,カシマ,3,鹿島,1-1,福岡,0
05/05,ノエスタ,4,神戸,0-0,Ｆ東京,0
05/05,三協Ｆ柏,5,柏,3-3,浦和,0
05/05,札幌ド,6,札幌,2-1,鳥栖,1
05/05,ニッパツ,7,横浜Ｃ,1-1,湘南,0
05/05,アイスタ,8,清水,4-1,仙台,1
05/05,Ｃスタ,9,岡山,1-2,町田,2
05/05,みらスタ,10,山口,0-1,千葉,2
05/05,ニンスタ,11,愛媛,0-0,磐田,0
05/05,サンアル,12,松本,2-1,相模原,1
05/05,トラスタ,13,長崎,1-2,秋田,2
